Team,Running Backs,Wide Receivers,Tight Ends,Depth
Seattle Seahawks,Kenneth Walker III,Jaxon Smith-Njigba,Elijah Arroyo,1
Seattle Seahawks,Zach Charbonnet,Cooper Kupp,AJ Barner,2
Seattle Seahawks,Damien Martinez,Tory Horton,Eric Saubert,3
San Francisco 49ers,Christian McCaffrey,Ricky Pearsall,George Kittle,1
San Francisco 49ers,Brian Robinson Jr.,Jauan Jennings,Luke Farrell,2
San Francisco 49ers,Isaac Guerendo,Brandon Aiyuk,Brayden Willis,3
Tampa Bay Buccaneers,Bucky Irving,Mike Evans,Cade Otton,1
Tampa Bay Buccaneers,Rachaad White,Emeka Egbuka,Payne Durham,2
Tampa Bay Buccaneers,Sean Tucker,Chris Godwin Jr.,Devin Culp,3
Tennessee Titans,Tony Pollard,Calvin Ridley,Chig Okonkwo,1
Tennessee Titans,Tyjae Spears,Elic Ayomanor,Gunnar Helm,2
Tennessee Titans,Kalel Mullings,Tyler Lockett,,3
Washington Commanders,Jacory Croskey-Merritt,Terry McLaurin,Zach Ertz,1
Washington Commanders,Austin Ekeler,Deebo Samuel Sr.,Ben Sinnott,2
Washington Commanders,Chris Rodriguez Jr.,Luke McCaffrey,John Bates,3
